addr	type	name	size
0x200aac	NOTYPE	..lin.7a18032c..8e3d18da.0_125	0
0x200ba3	NOTYPE	..lin.7a18032c..8e3d18da.0_126	0
0x200bb2	NOTYPE	..lin.7a18032c..8e3d18da.0_127	0
0x200bbd	NOTYPE	..lin.7a18032c..8e3d18da.0_128	0
0x200bc8	NOTYPE	..lin.7a18032c..8e3d18da.0_129	0
0x200bd2	NOTYPE	..lin.7a18032c..8e3d18da.0_130	0
0x200bd9	NOTYPE	..lin.7a18032c..8e3d18da.0_131	0
0x200be6	NOTYPE	..lin.7a18032c..8e3d18da.0_132	0
0x200bf3	NOTYPE	..lin.7a18032c..8e3d18da.0_133	0
0x200bfa	NOTYPE	..lin.7a18032c..8e3d18da.0_134	0
0x200c07	NOTYPE	..lin.7a18032c..8e3d18da.0_135	0
0x200c14	NOTYPE	..lin.7a18032c..8e3d18da.0_136	0
0x200c2c	FUNC	ASP_InitializeBootCpu...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	517
0x200c3f	NOTYPE	..lin.7a18032c..55c49336.0_137	0
0x200c4c	NOTYPE	..lin.7a18032c..55c49336.0_138	0
0x200c5e	NOTYPE	..lin.7a18032c..55c49336.0_139	0
0x200c62	NOTYPE	..lin.7a18032c..55c49336.0_140	0
0x200cb1	NOTYPE	..lin.7a18032c..55c49336.0_141	0
0x200d01	NOTYPE	..lin.7a18032c..55c49336.0_142	0
0x200d0a	NOTYPE	..lin.7a18032c..55c49336.0_143	0
0x200d1a	NOTYPE	..lin.7a18032c..55c49336.0_144	0
0x200d59	NOTYPE	..lin.7a18032c..55c49336.0_145	0
0x200d88	NOTYPE	..lin.7a18032c..55c49336.0_146	0
0x200d98	NOTYPE	..lin.7a18032c..55c49336.0_147	0
0x200db5	NOTYPE	..lin.7a18032c..55c49336.0_148	0
0x200dc5	NOTYPE	..lin.7a18032c..55c49336.0_149	0
0x200dca	NOTYPE	..lin.7a18032c..55c49336.0_150	0
0x200dcf	NOTYPE	..lin.7a18032c..55c49336.0_151	0
0x200dd4	NOTYPE	..lin.7a18032c..55c49336.0_152	0
0x200dd9	NOTYPE	..lin.7a18032c..55c49336.0_153	0
0x200de9	NOTYPE	..lin.7a18032c..55c49336.0_154	0
0x200dee	NOTYPE	..lin.7a18032c..55c49336.0_155	0
0x200df3	NOTYPE	..lin.7a18032c..55c49336.0_156	0
0x200e12	NOTYPE	..lin.7a18032c..55c49336.0_157	0
0x200e24	NOTYPE	..lin.7a18032c..55c49336.0_158	0
0x200e2e	NOTYPE	..lin.7a18032c..55c49336.0_159	0
0x200e31	FUNC	InitXstack...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	44
0x200e3b	NOTYPE	..lin.7a18032c..835e6e7.0_160	0
0x200e5d	FUNC	ASP_Initialize	775
0x200e6e	NOTYPE	..lin.7a18032c..95dee51a.0_161	0
0x200e78	NOTYPE	..lin.7a18032c..95dee51a.0_162	0
0x200e7d	NOTYPE	..lin.7a18032c..95dee51a.0_163	0
0x200eb3	NOTYPE	..lin.7a18032c..95dee51a.0_164	0
0x200ee5	NOTYPE	..lin.7a18032c..95dee51a.0_165	0
0x200f17	NOTYPE	..lin.7a18032c..95dee51a.0_166	0
0x200f48	NOTYPE	..lin.7a18032c..95dee51a.0_167	0
0x200f56	NOTYPE	..lin.7a18032c..95dee51a.0_168	0
0x200f6b	NOTYPE	..lin.7a18032c..95dee51a.0_169	0
0x200f7a	NOTYPE	..lin.7a18032c..95dee51a.0_170	0
0x200f8c	NOTYPE	..lin.7a18032c..95dee51a.0_171	0
0x200fab	NOTYPE	..lin.7a18032c..95dee51a.0_172	0
0x200fb8	NOTYPE	..lin.7a18032c..95dee51a.0_173	0
0x200fca	NOTYPE	..lin.7a18032c..95dee51a.0_174	0
0x200fd2	NOTYPE	..lin.7a18032c..95dee51a.0_175	0
0x200fe0	NOTYPE	..lin.7a18032c..95dee51a.0_176	0
0x201000	NOTYPE	..lin.7a18032c..95dee51a.0_177	0
0x20100c	NOTYPE	..lin.7a18032c..95dee51a.0_178	0
0x20101d	NOTYPE	..lin.7a18032c..95dee51a.0_179	0
0x201064	NOTYPE	..lin.7a18032c..95dee51a.0_180	0
0x201073	NOTYPE	..lin.7a18032c..95dee51a.0_181	0
